id,cond,gender,dv0,dv1,l1_proficiency,l2_proficiency,U,D
53,L1,2,.69999999,.2,6.25,7,.5,.40000001
54,L1,2,1,.5,5.5,6.5,.5,1
55,L1,2,.80000001,.40000001,6,7,.40000001,.66666669
56,L1,1,1,.69999999,4.25,7,.30000001,1
57,L1,1,1,.30000001,5,7,.69999999,1
58,L1,2,1,.69999999,7,7,.30000001,1
59,L1,1,.60000002,0,4,7,.60000002,0
61,L1,2,.69999999,.60000002,4,7,.099999964,.66666669
62,L1,1,.80000001,.30000001,4.5,6.5,.5,.60000002
63,L1,2,.89999998,.69999999,3.75,7,.19999999,.875
64,L1,1,1,.69999999,4.75,7,.30000001,1
65,L1,2,.80000001,.30000001,4.25,7,.5,.60000002
66,L1,1,1,.1,4,7,.89999998,.99999976
67,L1,2,.89999998,.80000001,5.25,7,.099999964,.8888889
68,L1,1,1,.80000001,6.5,7,.19999999,1
69,L1,2,.89999998,.30000001,5,6.75,.59999996,.74999994
70,L1,1,.89999998,0,5.75,7,.89999998,0
71,L1,2,1,.89999998,4.75,7,.10000002,1
72,L1,1,1,.80000001,3.75,7,.19999999,1
73,L1,2,1,.69999999,5,6.5,.30000001,1
74,L1,2,1,.60000002,5.5,7,.39999998,1
75,L1,1,1,.5,5.5,7,.5,1
76,L1,1,1,.60000002,5,7,.39999998,1
77,L1,2,1,.44444445,4.5,7,.55555558,1.0000001
79,L1,1,.89999998,.69999999,3.75,6.75,.19999999,.875
80,L1,1,.30000001,.30000001,5.25,7,0,.30000001
81,L1,2,.69999999,.5,6,7,.19999999,.625
82,L1,1,.69999999,.5,5,7,.19999999,.625
83,L1,1,.89999998,.1,4.25,7,.79999995,.49999988
84,L1,2,.89999998,.40000001,3.75,7,.49999997,.79999995
85,L1,1,.89999998,.60000002,4.75,6.75,.29999995,.85714281
86,L1,2,.40000001,.40000001,4.25,7,0,.40000001
87,L1,1,1,.30000001,3.25,7,.69999999,1
88,L1,1,0,0,5,7,0,0
89,L1,2,1,.60000002,5,7,.39999998,1
90,L1,1,.80000001,.5,4.75,7,.30000001,.71428573
91,L1,1,1,.60000002,3.5,7,.39999998,1
92,L1,1,.89999998,0,5,7,.89999998,0
93,L1,2,.89999998,.5,4.75,7,.39999998,.83333331
94,L1,2,.875,.33333334,5.5,7,.54166663,.72727269
95,L1,1,.89999998,.5,5.5,7,.39999998,.83333331
96,L1,1,1,.89999998,4.5,6.5,.10000002,1
97,L1,2,.69999999,.5,4,6.75,.19999999,.625
98,L1,2,.69999999,.1,5,7,.59999996,.24999999
99,L1,1,1,.69999999,4,6.25,.30000001,1
100,L1,1,.89999998,.30000001,3.5,7,.59999996,.74999994
101,L1,2,.89999998,.1,4.5,7,.79999995,.49999988
102,L1,2,1,.5,6,7,.5,1
103,L2,2,.80000001,.60000002,7,7,.19999999,.75
104,L2,1,1,.60000002,6.25,7,.39999998,1
105,L2,1,.60000002,.1,6,7,.5,.2
106,L2,1,.60000002,.40000001,6,7,.20000002,.5
107,L2,2,.69999999,.40000001,4.5,7,.29999998,.57142854
108,L2,1,1,.80000001,5.25,7,.19999999,1
109,L2,2,.89999998,.5,4.5,7,.39999998,.83333331
110,L2,1,.80000001,.5,7,7,.30000001,.71428573
111,L2,1,.80000001,.69999999,6,6,.10000002,.77777779
112,L2,2,.80000001,.66666669,4.5,7,.13333333,.76923078
113,L2,2,.69999999,.69999999,6,7,0,.69999999
114,L2,1,1,.60000002,5,7,.39999998,1
115,L2,1,1,.5,6,7,.5,1
116,L2,2,1,.69999999,4.5,7,.30000001,1
117,L2,1,1,.89999998,5.75,7,.10000002,1
118,L2,2,1,.69999999,7,7,.30000001,1
119,L2,2,.89999998,.69999999,5.25,7,.19999999,.875
120,L2,1,.1,.30000001,5,7,-.20000002,.25
121,L2,2,1,.40000001,7,7,.60000002,1.0000001
122,L2,2,.69999999,.5,4.75,7,.19999999,.625
123,L2,1,.60000002,.40000001,5,7,.20000002,.5
124,L2,2,.44444445,.5,4.75,7,-.055555552,.47368422
125,L2,1,1,.60000002,6,7,.39999998,1
126,L2,2,.69999999,.5,4.75,7,.19999999,.625
127,L2,2,.89999998,.60000002,4,7,.29999995,.85714281
128,L2,1,.55555558,.33333334,4.75,7,.22222224,.42857146
129,L2,2,.89999998,.1,6,7,.79999995,.49999988
130,L2,2,1,.30000001,5,7,.69999999,1
131,L2,1,.60000002,.5,3.5,7,.10000002,.55555558
132,L2,2,.80000001,.1,6,7,.69999999,.33333331
133,L2,2,1,.2,5.75,7,.80000001,1.0000001
134,L2,1,.89999998,.60000002,4.5,7,.29999995,.85714281
135,L2,2,1,1,4.75,7,0,1
136,L2,2,.8888889,.55555558,5,7,.33333331,.83333337
137,L2,2,.89999998,.30000001,7,7,.59999996,.74999994
138,L2,2,.5,.5,4.75,7,0,.5
139,L2,2,1,.8888889,7,7,.1111111,1
140,L2,1,.89999998,.69999999,5.75,7,.19999999,.875
141,L2,2,.69999999,.5,6,7,.19999999,.625
142,L2,2,.25,.33333334,3.5,7,-.083333343,.30769232
143,L2,1,.85714287,.69999999,3.25,7,.15714288,.83050847
144,L2,2,.30000001,.1,4.25,7,.20000002,.125
145,L2,2,.69999999,.5,5.25,7,.19999999,.625
146,L2,2,.66666669,.55555558,5,7,.1111111,.625
147,L2,1,.2,.1,7,7,.1,.11111111
148,L2,2,.80000001,.5,6,7,.30000001,.71428573
149,L2,2,.89999998,.80000001,5.25,7,.099999964,.8888889
150,L2,2,.60000002,.5,5,7,.10000002,.55555558
151,L2,2,1,.40000001,3.75,7,.60000002,1.0000001
152,L2,1,.89999998,.5,6,7,.39999998,.83333331
153,L2,1,.60000002,.40000001,4.25,7,.20000002,.5
154,L2,2,.77777779,.2,5,7,.5777778,.47368425
155,L2,1,.60000002,.1,5.75,7,.5,.2
156,L2,1,.89999998,.5,5.75,7,.39999998,.83333331
157,L2,1,.30000001,.5,5.25,7,-.19999999,.41666666
158,L2,1,.89999998,.80000001,5.25,7,.099999964,.8888889
159,L2,2,1,1,5,7,0,1
160,L2,1,.69999999,.22222222,5.5,7,.47777778,.42553192
161,L2,1,.89999998,.5,6,7,.39999998,.83333331
162,L2,2,.80000001,.40000001,6.25,7,.40000001,.66666669
163,L2,1,.69999999,.30000001,5.25,7,.39999998,.5
164,L2,1,1,.30000001,5,7,.69999999,1
165,L2,1,.8888889,.11111111,5.25,7,.77777779,.50000006
166,L2,1,.1,0,3.75,6.75,.1,0
167,L2,1,.5,.5,3.25,7,0,.5
168,L2,1,1,.5,4.75,7,.5,1
169,L2,2,.55555558,.5,5.75,7,.055555582,.52941179
170,L2,1,.40000001,.1,5.25,7,.30000001,.14285715
171,L2,2,.89999998,.5,5.75,7,.39999998,.83333331
172,L2,2,.77777779,0,5.75,7,.77777779,0
173,L2,1,1,.60000002,5.5,7,.39999998,1
174,L2,1,.89999998,.69999999,7,7,.19999999,.875
175,L2,2,.80000001,.80000001,3.75,7,0,.80000001
176,L2,1,.89999998,.80000001,4.75,7,.099999964,.8888889
177,L2,1,.60000002,.2,5.5,7,.40000004,.33333337
178,L2,1,.5,.30000001,5.75,7,.19999999,.375
179,L2,2,.69999999,.2,4.25,7,.5,.40000001
180,L2,1,1,.2,5,7,.80000001,1.0000001
181,L2,2,.60000002,.60000002,4.25,7,0,.60000002
182,L2,1,.89999998,.60000002,5.75,7,.29999995,.85714281
183,L2,1,.89999998,.30000001,5.5,7,.59999996,.74999994
184,L2,1,.69999999,.60000002,5.75,7,.099999964,.66666669
185,L2,2,.69999999,.40000001,4.75,7,.29999998,.57142854
186,L2,1,.69999999,.60000002,6,7,.099999964,.66666669
187,L2,1,.80000001,.1,4.5,7,.69999999,.33333331
188,L2,1,1,.5,5.25,7,.5,1
189,L2,1,1,.40000001,6.5,7,.60000002,1.0000001
190,L2,2,.80000001,.5,4.5,7,.30000001,.71428573
191,L2,1,.89999998,.5,6,7,.39999998,.83333331
192,L2,1,.89999998,.69999999,5.25,7,.19999999,.875
193,L2,1,1,.40000001,6,7,.60000002,1.0000001
194,L2,1,.89999998,.2,6.25,7,.69999999,.66666663
195,L2,1,.89999998,.80000001,5,7,.099999964,.8888889
196,L2,1,1,.1,5.5,7,.89999998,.99999976
197,L2,1,.89999998,.1,6.5,7,.79999995,.49999988
198,L2,1,.80000001,.40000001,5.25,7,.40000001,.66666669
199,L2,2,.89999998,.69999999,5.25,7,.19999999,.875
200,L2,1,1,.5,5.75,6.75,.5,1
201,L2,2,.80000001,.60000002,5.5,7,.19999999,.75
202,L2,1,.80000001,.5,5,7,.30000001,.71428573
203,L2,2,.89999998,.89999998,5.25,7,0,.89999998
204,L2,2,.89999998,.40000001,5,7,.49999997,.79999995
205,L2,2,.80000001,.60000002,5.5,7,.19999999,.75
206,L2,2,.89999998,.60000002,6,7,.29999995,.85714281
207,L2,1,.80000001,.69999999,5.5,7,.10000002,.77777779
208,L2,2,.60000002,.60000002,6,7,0,.60000002
209,L2,1,.80000001,.69999999,6.75,7,.10000002,.77777779
