id,cond,gender,dv0,dv1,l1_proficiency,l2_proficiency,U,D
1,L1,2,1,1,7,7,0,1
2,L1,1,.89999998,.1,5.25,7,.79999995,.49999988
3,L1,1,1,.5,5.25,7,.5,1
4,L1,2,.89999998,.30000001,5.5,7,.59999996,.74999994
5,L1,1,1,.80000001,5.75,7,.19999999,1
6,L1,1,1,.60000002,6.25,7,.39999998,1
7,L1,2,.80000001,.80000001,6.5,7,0,.80000001
8,L1,2,.89999998,.40000001,7,7,.49999997,.79999995
9,L1,1,.89999998,.80000001,5.75,7,.099999964,.8888889
10,L1,2,.80000001,.40000001,5.5,7,.40000001,.66666669
11,L1,2,1,.80000001,5.5,7,.19999999,1
12,L1,2,1,.69999999,6,7,.30000001,1
13,L1,2,.80000001,0,5.5,7,.80000001,0
14,L1,1,1,.60000002,7,7,.39999998,1
15,L1,2,.80000001,.40000001,3.75,7,.40000001,.66666669
16,L1,1,1,.60000002,4.5,6.75,.39999998,1
17,L1,2,1,.30000001,5.75,7,.69999999,1
18,L1,2,1,.1,3.25,7,.89999998,.99999976
19,L1,1,.89999998,.80000001,4,7,.099999964,.8888889
20,L1,2,.89999998,.2,5.25,7,.69999999,.66666663
21,L1,2,.89999998,.80000001,4.75,7,.099999964,.8888889
22,L1,1,.80000001,.5,4,6.5,.30000001,.71428573
23,L1,2,.89999998,.5,5.5,7,.39999998,.83333331
24,L1,2,.80000001,.1,5.5,7,.69999999,.33333331
25,L1,2,1,.1,4.75,7,.89999998,.99999976
26,L1,2,.69999999,.1,3.5,6.75,.59999996,.24999999
27,L1,2,.89999998,.80000001,2.5,7,.099999964,.8888889
28,L1,2,1,.80000001,6,7,.19999999,1
29,L1,2,.89999998,.1,5.5,7,.79999995,.49999988
30,L1,2,1,.80000001,5.75,7,.19999999,1
31,L1,2,.80000001,.69999999,4.5,7,.10000002,.77777779
32,L1,2,1,.89999998,6.5,7,.10000002,1
33,L1,2,.80000001,0,5.25,6.75,.80000001,0
34,L1,1,1,.2,4.5,7,.80000001,1.0000001
35,L1,1,1,.40000001,6.25,7,.60000002,1.0000001
36,L1,1,1,.80000001,7,7,.19999999,1
37,L1,1,1,.69999999,4.5,6.75,.30000001,1
38,L1,1,.89999998,.1,5.5,7,.79999995,.49999988
39,L1,2,.60000002,.2,5,7,.40000004,.33333337
40,L1,2,1,.55555558,5.5,7,.44444442,1
41,L1,1,1,.60000002,5.75,6.75,.39999998,1
42,L1,2,1,.40000001,3,6.5,.60000002,1.0000001
43,L1,1,1,.5,6,6,.5,1
44,L1,1,1,.1,4,7,.89999998,.99999976
46,L1,2,1,.5,4.25,7,.5,1
47,L1,2,.89999998,.69999999,3.75,5.75,.19999999,.875
48,L1,2,1,.1,6,7,.89999998,.99999976
49,L1,2,1,.60000002,4,7,.39999998,1
50,L1,1,.89999998,.1,4.5,7,.79999995,.49999988
51,L1,1,1,.69999999,4.25,7,.30000001,1
52,L1,2,1,.40000001,4.5,7,.60000002,1.0000001
