id,cond,gender,l1_proficiency,l2_proficiency,dv0,dv1,IRI,NFC,CRT,U,D
221,L2,2,7,6.25,.80000001,.5,4.2857141,3.4000001,2,.30000001,.71428573
222,L2,2,7,5,.60000002,.5,4.2857141,2.5999999,0,.10000002,.55555558
223,L2,2,7,3.5,.44444445,.40000001,2.8571429,2.5999999,2,.044444442,.41860464
224,L2,1,7,5,.69999999,.5,2.7142856,4.5999999,3,.19999999,.625
225,L2,2,7,5.5,.5,.5,3.1428571,3.4000001,0,0,.5
226,L2,2,7,6,.89999998,.5,5,5,3,.39999998,.83333331
227,L2,1,7,6,.80000001,.5,4.4285712,4.1999998,0,.30000001,.71428573
228,L2,2,7,4.5,.80000001,.40000001,4,3.5999999,1,.40000001,.66666669
229,L2,2,7,4.5,.89999998,.5,4.7142859,3.4000001,3,.39999998,.83333331
230,L2,2,7,5,.69999999,.69999999,4.1428571,4,2,0,.69999999
231,L2,2,7,5.25,.69999999,.30000001,3.5714285,3.4000001,2,.39999998,.5
232,L2,2,7,4.5,.69999999,.66666669,4.1428571,3.8,2,.033333302,.68965518
233,L2,2,7,5.25,.80000001,.2,3.5714285,3.5999999,2,.60000002,.50000006
234,L2,2,6.75,4.5,.89999998,.69999999,4.1428571,3,1,.19999999,.875
235,L2,1,7,5,.69999999,.40000001,2.1428571,3,4,.29999998,.57142854
236,L2,1,7,4.75,.80000001,.80000001,3.4285715,3.2,3,0,.80000001
237,L2,2,7,5.25,.5,.40000001,4.2857141,3.8,3,.099999994,.44444445
238,L2,2,7,5,.60000002,.5,3.1428571,2.5999999,2,.10000002,.55555558
239,L2,2,7,5.75,.60000002,.40000001,3.8571429,4,1,.20000002,.5
240,L2,2,7,6.25,.60000002,.40000001,3.7142856,3.2,1,.20000002,.5
241,L2,1,7,5.75,.80000001,.22222222,4.1428571,4.5999999,3,.5777778,.52631581
242,L2,1,7,6,.89999998,.40000001,4.2857141,4.5999999,3,.49999997,.79999995
