id,cond,gender,dv0,dv1,l1_proficiency,l2_proficiency,U,D
1,L2,1,1,.2,6,6.75,.80000001,1.0000001
2,L2,2,1,.2,4.5,7,.80000001,1.0000001
3,L2,2,.89999998,.60000002,6,7,.29999995,.85714281
4,L2,1,1,.69999999,6,7,.30000001,1
5,L2,1,.89999998,.30000001,6.5,6.25,.59999996,.74999994
6,L2,2,.89999998,.33333334,3.25,7,.5666666,.76923066
7,L2,2,1,.5,5.5,7,.5,1
8,L2,2,1,.30000001,5.75,7,.69999999,1
9,L2,1,1,1,5.75,7,0,1
10,L2,1,1,.40000001,5.25,7,.60000002,1.0000001
11,L2,2,1,.69999999,5.25,6.75,.30000001,1
12,L2,1,.80000001,.40000001,5.75,6.75,.40000001,.66666669
13,L2,2,.69999999,.69999999,2.75,7,0,.69999999
14,L2,1,1,.69999999,6,7,.30000001,1
15,L2,2,1,.89999998,6,7,.10000002,1
16,L2,1,.69999999,.69999999,4,7,0,.69999999
17,L2,1,1,.60000002,4.5,7,.39999998,1
18,L2,2,1,.69999999,7,7,.30000001,1
19,L2,1,.89999998,.60000002,6,7,.29999995,.85714281
20,L2,1,.60000002,.60000002,3.5,6,0,.60000002
21,L2,1,.89999998,.2,6.5,7,.69999999,.66666663
22,L2,2,.60000002,0,5,7,.60000002,0
23,L2,1,.89999998,.40000001,5.75,7,.49999997,.79999995
24,L2,2,.69999999,0,5.5,7,.69999999,0
25,L2,2,.60000002,.40000001,4.75,6.75,.20000002,.5
26,L2,2,.89999998,.40000001,5.25,6.75,.49999997,.79999995
27,L2,1,.69999999,.5,5.25,6.5,.19999999,.625
28,L2,1,.69999999,.30000001,5.5,6.75,.39999998,.5
29,L2,1,1,.60000002,1.5,1.25,.39999998,1
30,L2,1,1,.5,6,7,.5,1
31,L2,1,.80000001,.89999998,7,7,-.099999964,.81818181
32,L2,1,.40000001,.2,4,7,.2,.25
33,L2,1,1,.80000001,5,6.75,.19999999,1
34,L2,2,.89999998,.30000001,7,7,.59999996,.74999994
35,L2,1,.89999998,.30000001,4,7,.59999996,.74999994
