id,cond,gender,l1_proficiency,l2_proficiency,dv0,dv1,IRI,NFC,CRT,U,D
1,L2,2,7,4.75,.89999998,.2,3.5714285,3.8,5,.69999999,.66666663
2,L2,1,7,1,.80000001,.40000001,3.7142856,3.4000001,1,.40000001,.66666669
3,L2,2,7,6,.89999998,.5,4.4285712,4.5999999,3,.39999998,.83333331
4,L2,2,7,5,1,.89999998,4.1428571,3.2,1,.10000002,1
5,L2,2,7,5.75,.89999998,.60000002,4.8571429,4.5999999,2,.29999995,.85714281
6,L2,2,7,5.25,.89999998,.40000001,4.1428571,4.1999998,4,.49999997,.79999995
7,L2,1,7,7,1,.80000001,4.8571429,5,5,.19999999,1
8,L2,1,7,5.75,.80000001,.1,3.8571429,3.5999999,3,.69999999,.33333331
9,L2,1,7,5.5,.5,.60000002,4.2857141,3.8,0,-.10000002,.54545456
10,L2,1,6.5,4.5,1,.5,3.2857144,3.2,3,.5,1
11,L2,1,7,5.25,.60000002,0,3.5714285,3.4000001,3,.60000002,0
12,L2,1,7,5.25,.69999999,.30000001,3.1428571,3.4000001,4,.39999998,.5
13,L2,1,7,3.75,.89999998,1,4.1428571,3.5999999,0,-.10000002,.90909088
14,L2,2,6.75,6,.80000001,.5,2.8571429,3.5999999,1,.30000001,.71428573
15,L2,1,7,4.75,1,.60000002,2.8571429,2.8,4,.39999998,1
16,L2,2,7,5.25,.5,.1,5,2.5999999,0,.40000001,.16666667
17,L2,1,7,5.5,.89999998,.69999999,4,3.4000001,2,.19999999,.875
18,L2,1,7,5.75,.80000001,.69999999,3.5714285,3.4000001,4,.10000002,.77777779
19,L2,1,7,5.5,.89999998,.40000001,2.5714285,3.2,2,.49999997,.79999995
20,L2,1,5.25,5.25,.30000001,.40000001,3.1428571,2.2,2,-.099999994,.36363637
21,L2,2,7,4,.89999998,.60000002,4.4285712,3.8,3,.29999995,.85714281
22,L2,2,6.75,5.25,.5,.30000001,3.5714285,3.2,5,.19999999,.375
23,L2,1,7,5,.77777779,.60000002,3.4285715,3.2,5,.17777777,.72972977
24,L2,2,7,4.25,.80000001,.60000002,3.4285715,2.8,1,.19999999,.75
25,L2,1,7,5.25,.89999998,.2,3.4285715,3.4000001,3,.69999999,.66666663
26,L2,1,7,4,.60000002,.30000001,3.2857144,2.4000001,4,.30000001,.42857146
27,L2,2,7,5.25,.80000001,.40000001,3.2857144,4.4000001,5,.40000001,.66666669
28,L2,1,6,5.75,.5,.60000002,3.2857144,2.8,3,-.10000002,.54545456
29,L2,1,5.75,4.75,.60000002,.30000001,2.7142856,3.2,2,.30000001,.42857146
30,L2,1,6.5,4.75,.69999999,.5,3.2857144,3.2,2,.19999999,.625
31,L2,1,7,6.75,.89999998,.40000001,5,4.1999998,3,.49999997,.79999995
32,L2,1,6.75,5.75,.80000001,.40000001,3.2857144,3.5999999,4,.40000001,.66666669
33,L2,1,7,5.75,.80000001,.2,2.1428571,3.4000001,3,.60000002,.50000006
34,L2,2,5.75,4.75,1,.5,4.2857141,4.1999998,2,.5,1
35,L2,1,7,5.25,.60000002,.2,3,2.5999999,0,.40000004,.33333337
36,L2,1,7,4.5,.33333334,.25,3.2857144,2.4000001,2,.083333343,.27272728
37,L2,2,7,4,.89999998,.40000001,3.5714285,4.1999998,3,.49999997,.79999995
38,L2,1,7,4,.30000001,.5,3,3,5,-.19999999,.41666666
39,L2,1,6.5,5.5,.66666669,.55555558,3.1428571,3.4000001,5,.1111111,.625
40,L2,1,7,6.25,.69999999,.40000001,3.4285715,4.1999998,4,.29999998,.57142854
41,L2,1,6.5,1.25,.66666669,.5714286,2.7142856,3.2,1,.09523809,.63157898
42,L2,2,7,6,.80000001,.60000002,2.5714285,4.4000001,4,.19999999,.75
43,L2,1,6.75,6.25,.89999998,.60000002,3.2857144,3.8,2,.29999995,.85714281
44,L2,2,7,3.75,.80000001,.2,2.5714285,2.4000001,3,.60000002,.50000006
45,L2,1,7,5.5,.80000001,.60000002,3,3.4000001,4,.19999999,.75
46,L2,2,6.5,3,.89999998,.30000001,2.8571429,3.4000001,3,.59999996,.74999994
47,L2,2,7,5.75,.89999998,.30000001,3.8571429,3.2,0,.59999996,.74999994
48,L2,2,7,6.5,1,.89999998,4.5714288,4,1,.10000002,1
49,L2,2,7,5.25,.69999999,.40000001,3.1428571,2.8,2,.29999998,.57142854
50,L2,2,6.5,5.5,.80000001,.30000001,4.8571429,2.4000001,1,.5,.60000002
51,L2,1,7,4.75,.89999998,.1,3.4285715,3.2,3,.79999995,.49999988
52,L2,2,7,4,.80000001,.30000001,4,3.2,2,.5,.60000002
53,L2,2,6.75,2,.60000002,.2,2.8571429,3,1,.40000004,.33333337
54,L2,1,6.75,5.25,.5,.30000001,3.1428571,3.2,2,.19999999,.375
55,L2,2,7,4.75,.80000001,.5,4.7142859,3.2,4,.30000001,.71428573
56,L2,2,7,4.5,.69999999,.5,3.4285715,3.2,1,.19999999,.625
57,L2,1,6,3.25,.55555558,.30000001,2.8571429,3,1,.25555557,.4029851
58,L2,2,6.75,4.75,1,.5,3.2857144,2.5999999,3,.5,1
59,L2,2,7,5.5,.80000001,.30000001,3.4285715,4.1999998,3,.5,.60000002
60,L2,1,7,7,.89999998,.5,4.1428571,4.4000001,4,.39999998,.83333331
61,L2,1,7,6.5,.5,.2,1.7142857,3.5999999,5,.30000001,.2857143
62,L2,2,6.75,3.75,.69999999,.69999999,2.7142856,3.4000001,1,0,.69999999
63,L2,1,7,4,.89999998,.60000002,2.8571429,3.8,3,.29999995,.85714281
64,L2,1,6.75,5,.5,.5,3,3,4,0,.5
65,L2,1,7,6.25,.80000001,.69999999,2.5714285,4.5999999,5,.10000002,.77777779
66,L2,2,6.5,6,.80000001,.30000001,4.7142859,3.4000001,1,.5,.60000002
67,L2,1,7,5.5,.80000001,.30000001,3.8571429,3.2,3,.5,.60000002
68,L2,2,7,5.5,.80000001,.30000001,3.8571429,3.8,5,.5,.60000002
69,L2,2,7,6,.89999998,.40000001,4.4285712,3.2,5,.49999997,.79999995
70,L2,1,7,3.75,.69999999,.5,3.4285715,3.4000001,3,.19999999,.625
71,L2,2,7,5,.60000002,.42857143,4.1428571,3.2,2,.17142859,.51724142
72,L2,1,7,6,.89999998,.89999998,3.1428571,3.4000001,0,0,.89999998
73,L2,2,7,6,.80000001,.69999999,2.5714285,3.2,1,.10000002,.77777779
74,L2,1,7,5,1,.60000002,3.8571429,4.1999998,5,.39999998,1
75,L2,1,7,4.25,.89999998,.30000001,3,3.8,2,.59999996,.74999994
76,L2,1,6.75,5.25,.80000001,.40000001,3.5714285,2.5999999,2,.40000001,.66666669
77,L2,2,7,4.5,.69999999,.40000001,4.2857141,4.4000001,4,.29999998,.57142854
78,L2,1,7,4,.89999998,.40000001,4.1428571,3.2,2,.49999997,.79999995
79,L2,1,7,4.5,.89999998,.2,3.4285715,4.4000001,5,.69999999,.66666663
80,L2,2,7,4.5,.40000001,.30000001,3.1428571,3.4000001,0,.099999994,.33333334
81,L2,1,6.75,6.25,.80000001,.5,3.4285715,2.8,5,.30000001,.71428573
82,L2,1,6,4.25,.80000001,.2,4.4285712,4.5999999,4,.60000002,.50000006
83,L2,1,7,5.25,.69999999,.30000001,3.1428571,3,3,.39999998,.5
84,L2,2,7,7,.89999998,.69999999,3.1428571,3.8,3,.19999999,.875
85,L2,2,6,3.75,.80000001,.44444445,1.7142857,2.5999999,2,.35555556,.68965518
86,L2,2,6.75,3.25,1,.80000001,4.5714288,2.8,1,.19999999,1
88,L2,2,7,6.25,.80000001,.40000001,3.8571429,4.1999998,4,.40000001,.66666669
89,L2,1,6.5,5.5,.80000001,.5,3.5714285,2.5999999,4,.30000001,.71428573
90,L2,1,7,6,.80000001,.40000001,4.2857141,3.2,4,.40000001,.66666669
91,L2,1,7,5.75,.69999999,.40000001,2.2857144,4.4000001,5,.29999998,.57142854
92,L2,1,7,4,1,.40000001,3.7142856,4.1999998,5,.60000002,1.0000001
93,L2,2,7,5,.60000002,.30000001,2,2.8,2,.30000001,.42857146
94,L2,1,7,5.75,.80000001,.1,3.4285715,3.2,4,.69999999,.33333331
95,L2,2,7,7,.60000002,.5,3.1428571,3.8,4,.10000002,.55555558
96,L2,1,7,6,.89999998,.2,3.5714285,3.5999999,1,.69999999,.66666663
97,L2,2,7,5.75,.80000001,.5,3.7142856,3.4000001,1,.30000001,.71428573
98,L2,1,6,6,.69999999,.5,3.2857144,3.5999999,3,.19999999,.625
99,L2,2,7,6.5,.80000001,.5,3.7142856,3.4000001,4,.30000001,.71428573
100,L2,2,7,5.25,.89999998,.40000001,3.4285715,3,2,.49999997,.79999995
101,L2,2,7,6,.69999999,.60000002,3.5714285,3.5999999,4,.099999964,.66666669
102,L2,2,7,5,.69999999,.60000002,4.1428571,3,0,.099999964,.66666669
103,L2,2,7,5.75,.60000002,.40000001,3.5714285,4.1999998,2,.20000002,.5
104,L2,1,7,6,.80000001,.40000001,2.5714285,4.8000002,1,.40000001,.66666669
105,L2,1,6.5,5.75,.5,.1,2.2857144,4.8000002,4,.40000001,.16666667
106,L2,2,7,6,.89999998,.30000001,2,4.8000002,2,.59999996,.74999994
107,L2,1,7,7,.60000002,.30000001,3.7142856,4.5999999,0,.30000001,.42857146
108,L2,2,7,4,.80000001,.5,4.5714288,3.5999999,1,.30000001,.71428573
109,L2,2,7,3.75,.8888889,.80000001,2.8571429,3,1,.088888884,.87804878
110,L2,2,5.5,4.75,.69999999,.60000002,2.5714285,3.5999999,2,.099999964,.66666669
111,L2,1,7,5.25,.80000001,.40000001,3.8571429,3.8,4,.40000001,.66666669
112,L2,2,7,4.75,.89999998,.80000001,3.1428571,2.5999999,0,.099999964,.8888889
