id,cond,gender,l1_proficiency,l2_proficiency,dv0,dv1,IRI,NFC,CRT,U,D
113,L2,1,7,5.75,.69999999,.40000001,3.8571429,4.4000001,2,.29999998,.57142854
114,L2,2,7,5.25,1,.69999999,4.5714288,4.1999998,0,.30000001,1
115,L2,2,7,6.5,.69999999,.2,5,4.1999998,2,.5,.40000001
116,L2,2,7,6.5,.69999999,.30000001,4.5714288,3.5999999,1,.39999998,.5
117,L1,1,6,2.75,1,1,3.2857144,3.4000001,4,0,1
118,L1,1,7,5.5,.69999999,.5,3.2857144,4.8000002,3,.19999999,.625
119,L1,1,7,6,.60000002,.2,4.1428571,4.8000002,0,.40000004,.33333337
120,L1,1,7,4,.89999998,.625,3.4285715,4.4000001,3,.27499998,.86206895
121,L1,2,6.25,2.25,.60000002,.30000001,3.7142856,3.2,1,.30000001,.42857146
122,L1,2,6,4,.80000001,.69999999,3.7142856,3.5999999,1,.10000002,.77777779
123,L1,2,7,5,.69999999,.30000001,3.7142856,4.8000002,3,.39999998,.5
124,L1,1,4.25,4.5,.89999998,.60000002,4,3.5999999,4,.29999995,.85714281
125,L1,2,7,6.5,.80000001,.30000001,4,3.5999999,4,.5,.60000002
126,L1,1,6.75,3,1,.40000001,3.2857144,4.1999998,0,.60000002,1.0000001
127,L1,2,7,4.5,.89999998,.60000002,3.7142856,4.4000001,2,.29999995,.85714281
128,L1,1,7,2.75,.89999998,.5,3.7142856,4.1999998,0,.39999998,.83333331
129,L1,1,7,6,.69999999,.5,3,3,1,.19999999,.625
130,L1,1,7,6.5,.89999998,.5,2.7142856,4.8000002,4,.39999998,.83333331
131,L1,2,7,6.25,.89999998,.40000001,4.2857141,3.2,4,.49999997,.79999995
132,L1,2,7,6.5,.89999998,.5,2.7142856,1.8,0,.39999998,.83333331
133,L1,1,7,5.75,.60000002,.30000001,2.8571429,4,2,.30000001,.42857146
134,L1,2,7,6,.69999999,.40000001,2.8571429,3.4000001,0,.29999998,.57142854
135,L1,2,7,5.5,.80000001,.69999999,3,4.1999998,2,.10000002,.77777779
136,L1,2,7,3.5,.89999998,.2,3.7142856,4.4000001,2,.69999999,.66666663
137,L1,2,7,5,1,.44444445,4.1428571,3.2,2,.55555558,1.0000001
138,L1,2,7,4,.80000001,.60000002,4.4285712,5,2,.19999999,.75
139,L1,2,6.75,3.75,.69999999,.30000001,3.1428571,3.4000001,2,.39999998,.5
140,L1,1,6,4.75,1,.80000001,2.7142856,3.5999999,3,.19999999,1
141,L1,1,7,3,.69999999,.30000001,3.8571429,4.1999998,1,.39999998,.5
142,L1,2,7,2.5,.69999999,.30000001,4.4285712,3.2,2,.39999998,.5
143,L1,2,7,6,.85714287,.71428573,4,3.5999999,0,.14285713,.83333337
144,L1,1,7,5.25,1,.69999999,3.8571429,3.2,4,.30000001,1
145,L1,1,7,6,.80000001,.30000001,3.5714285,3.4000001,0,.5,.60000002
146,L1,1,7,4.5,.80000001,.69999999,4.7142859,5,1,.10000002,.77777779
147,L1,1,6,4,.89999998,.5,3.8571429,3,4,.39999998,.83333331
148,L1,2,7,5.25,1,.5,3.4285715,5,3,.5,1
149,L1,1,6.75,3.25,.89999998,.2,3.8571429,3.4000001,1,.69999999,.66666663
150,L1,1,6.25,5,.77777779,.30000001,3.5714285,3,4,.47777778,.57446814
151,L1,2,7,5.75,.69999999,.60000002,4,4.1999998,4,.099999964,.66666669
152,L1,1,6.75,5,.875,.66666669,4.4285712,3.5999999,3,.20833331,.84210527
153,L1,1,6,3.5,1,.69999999,3.4285715,3.4000001,2,.30000001,1
154,L1,2,7,6.5,1,.5,4.1428571,4.4000001,5,.5,1
155,L1,1,7,3.5,.80000001,.2,3.4285715,3.8,4,.60000002,.50000006
156,L1,1,7,5,1,.60000002,4.7142859,4.8000002,5,.39999998,1
157,L1,2,7,4.75,.89999998,.40000001,4.1428571,4.1999998,2,.49999997,.79999995
158,L1,1,6,4,.89999998,.69999999,4.7142859,4.8000002,5,.19999999,.875
159,L1,1,7,4.5,.60000002,.2,2.4285715,4.1999998,4,.40000004,.33333337
160,L1,1,6.75,5.25,.69999999,.5,4.1428571,5,5,.19999999,.625
161,L1,1,7,6,.77777779,.30000001,4,4.4000001,3,.47777778,.57446814
162,L1,2,7,4,1,.625,3.7142856,3.8,1,.375,1
163,L1,1,7,2,.89999998,.30000001,2.7142856,5,4,.59999996,.74999994
164,L1,2,1,1,.89999998,.5,4.5714288,2.2,1,.39999998,.83333331
165,L1,1,7,6.25,.80000001,.2,3.8571429,4.5999999,3,.60000002,.50000006
166,L1,2,7,5.75,.89999998,.60000002,3.4285715,4,1,.29999995,.85714281
167,L1,2,7,5.75,.8888889,.8888889,4.1428571,4,4,0,.8888889
168,L1,2,1,3.75,.60000002,.60000002,2.1428571,3.2,0,0,.60000002
169,L1,1,7,5,.69999999,.30000001,3.1428571,4.1999998,5,.39999998,.5
170,L1,1,6,3.75,.5,.30000001,3.8571429,2.8,0,.19999999,.375
171,L1,2,7,4.5,.89999998,.5,4.4285712,3.2,2,.39999998,.83333331
172,L1,2,7,6,.89999998,.60000002,3.4285715,2.4000001,1,.29999995,.85714281
173,L1,2,7,5,.875,.22222222,4.5714288,4.1999998,1,.65277779,.64000005
174,L1,1,7,4.5,.89999998,.40000001,3.2857144,3,0,.49999997,.79999995
175,L1,2,7,4.75,.89999998,.40000001,3.4285715,3.8,2,.49999997,.79999995
176,L1,2,7,5.5,.80000001,.60000002,4.5714288,2.8,4,.19999999,.75
177,L1,1,7,5.5,1,.2,2.4285715,4.5999999,4,.80000001,1.0000001
178,L1,2,7,6.5,.75,.5,3.5714285,4,0,.25,.66666669
179,L1,2,7,5,.89999998,.30000001,3.4285715,3.5999999,1,.59999996,.74999994
180,L1,2,7,2.5,.60000002,.60000002,5,3.8,1,0,.60000002
181,L1,2,7,5.75,.60000002,.2,3.2857144,3.2,2,.40000004,.33333337
182,L1,1,7,5.25,.80000001,.40000001,3.8571429,3.2,1,.40000001,.66666669
183,L1,2,7,4.5,.80000001,.2,4,4.4000001,3,.60000002,.50000006
184,L1,2,7,3.75,.69999999,.5,3.1428571,3.2,1,.19999999,.625
185,L1,1,7,6,.80000001,.30000001,2.7142856,4.1999998,3,.5,.60000002
186,L1,1,7,7,.69999999,.40000001,3,4.5999999,5,.29999998,.57142854
187,L1,1,7,3.75,.89999998,.5,4.1428571,3.4000001,5,.39999998,.83333331
188,L1,2,7,5.5,.80000001,.40000001,4.1428571,5,1,.40000001,.66666669
189,L1,1,4,4,.89999998,.80000001,3,3,0,.099999964,.8888889
190,L1,1,7,2.75,.89999998,.5,4,4,3,.39999998,.83333331
191,L1,1,6.75,5,.80000001,.2,4,4.5999999,5,.60000002,.50000006
192,L1,2,7,5,.89999998,.5,3.7142856,3.4000001,1,.39999998,.83333331
193,L1,2,7,5.5,.875,.66666669,4.8571429,4,3,.20833331,.84210527
194,L1,2,7,4.75,.69999999,.69999999,3.7142856,5,0,0,.69999999
195,L1,2,7,4.75,1,.5,3.5714285,3,1,.5,1
196,L1,1,7,4,.89999998,.30000001,2.8571429,5,0,.59999996,.74999994
197,L1,1,7,6.5,.69999999,.30000001,2.5714285,5,5,.39999998,.5
198,L1,1,7,5,.89999998,.5,3.4285715,3.4000001,4,.39999998,.83333331
199,L1,2,7,6,.89999998,1,3,3,0,-.10000002,.90909088
200,L1,2,7,5.5,.89999998,.40000001,2.4285715,5,3,.49999997,.79999995
201,L1,2,7,4.75,.69999999,.80000001,4.4285712,3.5999999,0,-.10000002,.72727275
202,L1,1,6.75,6,.80000001,.40000001,3.8571429,4,1,.40000001,.66666669
203,L1,1,7,5,.89999998,.30000001,3.4285715,2.5999999,2,.59999996,.74999994
204,L1,1,7,5,.69999999,.5,4.2857141,5,2,.19999999,.625
205,L1,2,7,4.25,.80000001,.60000002,4.1428571,4.5999999,2,.19999999,.75
206,L1,2,7,5.5,.5,.22222222,3.8571429,4,5,.27777779,.30769232
207,L1,2,4,4,.77777779,.66666669,3,3,1,.1111111,.75
208,L1,1,7,4.75,.80000001,.69999999,2.2857144,4.8000002,4,.10000002,.77777779
209,L1,1,7,6.25,.89999998,.80000001,4.7142859,5,0,.099999964,.8888889
210,L1,1,7,5,.89999998,.60000002,5,4.5999999,0,.29999995,.85714281
211,L1,1,7,4.75,.69999999,.5,3.4285715,3.4000001,3,.19999999,.625
212,L1,2,7,3.5,.80000001,.30000001,3.4285715,3.5999999,4,.5,.60000002
213,L1,2,7,5,.60000002,.30000001,3.7142856,3.2,3,.30000001,.42857146
214,L1,2,7,5.25,1,.60000002,4.5714288,4,1,.39999998,1
215,L1,2,7,3.5,.80000001,.80000001,4.7142859,4,1,0,.80000001
