id,cond,gender,dv0,dv1,l1_proficiency,l2_proficiency,U,D
1,L2,2,.69999999,.69999999,7,7,0,.69999999
2,L2,1,.80000001,.60000002,6.75,7,.19999999,.75
3,L2,1,1,.80000001,6.25,7,.19999999,1
4,L2,2,.69999999,.60000002,6.75,7,.099999964,.66666669
5,L2,2,1,.80000001,6,7,.19999999,1
6,L2,1,.89999998,.60000002,7,7,.29999995,.85714281
7,L2,2,.89999998,.80000001,6.75,7,.099999964,.8888889
8,L2,2,.80000001,.1,5.5,7,.69999999,.33333331
9,L2,2,.80000001,.69999999,5.5,7,.10000002,.77777779
10,L2,2,.89999998,.89999998,4.75,7,0,.89999998
11,L2,1,.69999999,.30000001,5.5,7,.39999998,.5
12,L2,2,.69999999,.80000001,5,7,-.10000002,.72727275
13,L2,2,1,.30000001,6.25,6.75,.69999999,1
14,L2,2,.89999998,.40000001,5.75,7,.49999997,.79999995
15,L2,1,1,.80000001,6,7,.19999999,1
16,L2,2,.30000001,.2,4.75,6.25,.10000001,.22222222
17,L2,2,.69999999,.40000001,4.25,7,.29999998,.57142854
18,L2,2,.80000001,.5,4.5,7,.30000001,.71428573
19,L2,1,.80000001,.60000002,6,7,.19999999,.75
20,L2,2,.89999998,.5,6.25,7,.39999998,.83333331
21,L2,2,.89999998,.5,6,7,.39999998,.83333331
22,L2,2,.80000001,.69999999,3.75,6.75,.10000002,.77777779
23,L2,2,1,.80000001,6.5,7,.19999999,1
24,L2,2,.80000001,.2,5.5,7,.60000002,.50000006
25,L2,2,.40000001,.40000001,4.75,7,0,.40000001
26,L2,2,.80000001,.69999999,6,7,.10000002,.77777779
27,L2,2,.80000001,.40000001,6,7,.40000001,.66666669
28,L2,2,.89999998,.30000001,5.75,7,.59999996,.74999994
29,L2,2,.69999999,.30000001,4.75,7,.39999998,.5
30,L2,1,.66666669,0,5,7,.66666669,0
31,L2,2,.80000001,.89999998,5.25,7,-.099999964,.81818181
32,L2,2,.60000002,.1,6,7,.5,.2
33,L2,1,.89999998,.80000001,3.5,7,.099999964,.8888889
34,L2,1,.89999998,.69999999,4,7,.19999999,.875
35,L2,2,1,.40000001,5.75,7,.60000002,1.0000001
36,L2,2,.80000001,.5,5.25,7,.30000001,.71428573
37,L2,2,.69999999,.80000001,5.25,7,-.10000002,.72727275
38,L2,2,.89999998,.40000001,5.25,7,.49999997,.79999995
39,L2,2,1,.30000001,4.75,6,.69999999,1
40,L2,2,.89999998,.60000002,3.75,6.5,.29999995,.85714281
41,L2,1,.80000001,.5,3.5,7,.30000001,.71428573
42,L2,1,.30000001,.40000001,5.75,6.75,-.099999994,.36363637
43,L2,2,.60000002,.5,2.5,7,.10000002,.55555558
44,L2,2,1,1,7,7,0,1
45,L2,1,.89999998,0,6,7,.89999998,0
46,L2,1,1,.80000001,5,7,.19999999,1
47,L2,1,1,.89999998,5.5,6.75,.10000002,1
48,L2,1,.69999999,.60000002,5.75,7,.099999964,.66666669
49,L2,2,1,.5,6,7,.5,1
50,L2,1,1,.60000002,5.75,7,.39999998,1
51,L2,2,.69999999,.69999999,6,7,0,.69999999
52,L2,2,.80000001,.40000001,6.75,7,.40000001,.66666669
53,L2,2,.40000001,.2,6.5,7,.2,.25
54,L2,2,.5,.40000001,4.5,7,.099999994,.44444445
55,L2,1,.5,.5,5.5,7,0,.5
56,L2,2,.80000001,.60000002,6,7,.19999999,.75
57,L2,2,.89999998,.69999999,2.75,7,.19999999,.875
58,L2,2,.60000002,.5,6,7,.10000002,.55555558
59,L2,2,.80000001,.40000001,6,7,.40000001,.66666669
60,L2,2,1,.60000002,5.75,7,.39999998,1
61,L2,2,1,.40000001,7,7,.60000002,1.0000001
62,L2,1,.89999998,.60000002,5,7,.29999995,.85714281
